total_bill,tip,sex,smoker,day,time,size,avg_tip,max_tip,avg_bill,total_bills_by_day,avg_tip_by_sex,avg_tip_by_smoker,tip_zscore,tip_percentage
34.65,3.68,Male,Yes,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.4902604720797277,10.620490620490623
23.33,5.65,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,1.9155768244985685,24.21774539219889
45.35,3.5,Male,Yes,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.3600285210972955,7.717750826901875
23.17,6.5,Male,Yes,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,2.5305610374711645,28.05351747949935
40.55,3.0,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,-0.0017268982983493265,7.398273736128237
20.69,5.0,Male,No,Sun,Dinner,5,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.44529477928423,24.166263895601737
20.9,3.5,Female,Yes,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,3.019673913043478,0.3600285210972955,16.74641148325359
30.46,2.0,Male,Yes,Sun,Dinner,5,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,-0.7252377370896389,6.5659881812212735
18.15,3.5,Female,Yes,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,3.019673913043478,0.3600285210972955,19.28374655647383
23.1,4.0,Male,Yes,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.7217839404929403,17.316017316017316
15.69,1.5,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,-1.0869931564852837,9.560229445506693
19.81,4.19,Female,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,0.8592509998632856,21.150933871781934
28.44,2.56,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.3200716673665167,9.0014064697609
15.48,2.02,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.7107675203138132,13.049095607235142
16.58,4.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,0.7217839404929403,24.12545235223161
7.56,1.44,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-1.130403806812761,19.047619047619047
10.34,2.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.7252377370896389,19.342359767891683
43.11,5.0,Female,Yes,Thur,Lunch,4,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,1.44529477928423,11.59823706796567
13.0,2.0,Female,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,-0.7252377370896389,15.384615384615385
13.51,2.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.7252377370896389,14.803849000740193
18.71,4.0,Male,Yes,Thur,Lunch,3,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,0.7217839404929403,21.378941742383752
12.74,2.01,Female,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,-0.7180026287017262,15.777080062794347
16.4,2.5,Female,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,-0.36348231769399414,15.243902439024392
20.53,4.0,Male,Yes,Thur,Lunch,4,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,0.7217839404929403,19.48368241597662
16.47,3.23,Female,Yes,Thur,Lunch,3,2.78,6.7,17.76,1083.33,2.8431395348837207,3.019673913043478,0.16468059462364726,19.611414693381906
26.59,3.41,Male,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.2949125456060795,12.82437006393381
38.73,3.0,Male,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.0017268982983493265,7.74593338497289
24.27,2.03,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7035324119259004,8.364235681911826
12.76,2.23,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.5588302441676424,17.476489028213166
30.06,2.0,Male,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7252377370896389,6.653359946773121
25.89,5.16,Male,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,1.5610565134908363,19.930475086906142
48.33,9.0,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,4.339338134449388,18.6219739292365
13.27,2.5,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.36348231769399414,18.839487565938207
28.17,6.5,Female,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,2.5305610374711645,23.074192403265883
12.9,1.1,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-1.3763974920017996,8.527131782945736
28.15,3.0,Male,Yes,Sat,Dinner,5,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.0017268982983493265,10.657193605683837
11.59,1.5,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-1.0869931564852837,12.94219154443486
7.74,1.44,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-1.130403806812761,18.6046511627907
30.14,3.09,Female,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,0.06338907719286664,10.252156602521566
12.16,2.2,Male,Yes,Fri,Lunch,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-0.5805355693313808,18.092105263157894
13.42,3.48,Female,Yes,Fri,Lunch,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,0.34555830432146967,25.93144560357675
8.58,1.92,Male,Yes,Fri,Lunch,1,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-0.7831186041929421,22.377622377622377
15.98,3.0,Female,No,Fri,Lunch,3,2.73,4.73,17.15,325.88,2.8431395348837207,2.9918543046357615,-0.0017268982983493265,18.773466833541928
13.42,1.58,Male,Yes,Fri,Lunch,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-1.0291122893819806,11.773472429210134
16.27,2.5,Female,Yes,Fri,Lunch,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,-0.36348231769399414,15.365703749231715
10.09,2.0,Female,Yes,Fri,Lunch,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,-0.7252377370896389,19.821605550049554
20.45,3.0,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,14.66992665036675
13.28,2.72,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.20430993315991028,20.481927710843376
22.12,2.88,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.08854819895330415,13.019891500904157
24.01,2.0,Male,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7252377370896389,8.329862557267804
15.69,3.0,Male,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.0017268982983493265,19.120458891013385
11.61,3.39,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.2804423288302537,29.198966408268735
10.77,1.47,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-1.1086984816490224,13.649025069637883
15.53,3.0,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.0017268982983493265,19.31745009658725
10.07,1.25,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-1.2678708661831062,12.413108242303872
12.6,1.0,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-1.4487485758809286,7.936507936507936
32.83,1.17,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-1.3257517332864093,3.563813585135547
35.83,4.67,Female,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,1.2065362024831043,13.033770583310075
29.03,5.92,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,2.110924750972216,20.39269720978298
27.18,2.0,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.7252377370896389,7.358351729212656
22.67,2.0,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7252377370896389,8.822232024702249
17.82,1.75,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.9061154467874614,9.820426487093153
18.78,3.0,Female,No,Thur,Dinner,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.0017268982983493265,15.974440894568689
